,ADMIN1,ADMIN2,date,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_1,CS_5,ML1_5,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2
0,Awdal,Baki,2009-07-01,0.0,0.0,0.0,38763.5703125,0.0,0.0,0.0,0.0,38763.5703125,0.0,0.0,0.0,0.0,38763.5703125,0.0,0.0,0.0,0.0,0.0,38763.5703125,0.0,38763.5703125,0.0,38763.5703125
1,Awdal,Borama,2009-07-01,0.0,0.0,0.0,328550.40625,0.0,0.0,0.0,0.0,328550.40625,0.0,0.0,0.0,0.0,328550.40625,0.0,0.0,0.0,0.0,0.0,328550.40625,0.0,328550.40625,0.0,328550.40625
2,Awdal,Lughaye,2009-07-01,0.0,0.0,0.0,53963.0390625,0.0,0.0,0.0,0.0,53963.0390625,0.0,0.0,0.0,0.0,53963.0390625,0.0,0.0,0.0,0.0,0.0,53963.0390625,0.0,53963.0390625,0.0,53963.0390625
3,Awdal,Zeylac,2009-07-01,20.723438262939453,0.0,0.0,42367.9140625,0.0,20.723438262939453,0.0,0.0,42367.9140625,0.0,20.723438262939453,0.0,0.0,42367.9140625,0.0,0.0,0.0,0.0,20.723438262939453,42388.63750076294,20.723438262939453,42388.63750076294,20.723438262939453,42388.63750076294
4,Bakool,Ceel Barde,2009-07-01,0.0,0.0,0.0,44633.5234375,0.0,0.0,0.0,0.0,44633.5234375,0.0,0.0,0.0,0.0,44633.5234375,0.0,0.0,0.0,0.0,0.0,44633.5234375,0.0,44633.5234375,0.0,44633.5234375
5,Bakool,Rab Dhuure,2009-07-01,0.0,0.0,0.0,57987.12890625,0.0,0.0,0.0,0.0,57987.12890625,0.0,0.0,0.0,0.0,57987.12890625,0.0,0.0,0.0,0.0,0.0,57987.12890625,0.0,57987.12890625,0.0,57987.12890625
6,Bakool,Tayeeglow,2009-07-01,0.0,0.0,0.0,124764.90625,0.0,0.0,0.0,0.0,124764.90625,0.0,0.0,0.0,0.0,124764.90625,0.0,0.0,0.0,0.0,0.0,124764.90625,0.0,124764.90625,0.0,124764.90625
7,Bakool,Waajid,2009-07-01,0.0,0.0,0.0,110059.09375,0.0,0.0,0.0,0.0,110059.09375,0.0,0.0,0.0,0.0,110059.09375,0.0,0.0,0.0,0.0,0.0,110059.09375,0.0,110059.09375,0.0,110059.09375
8,Bakool,Xudur,2009-07-01,0.0,0.0,0.0,146094.890625,0.0,0.0,0.0,0.0,146094.890625,0.0,0.0,0.0,0.0,146094.890625,0.0,0.0,0.0,0.0,0.0,146094.890625,0.0,146094.890625,0.0,146094.890625
9,Banadir,Banadir,2009-07-01,0.0,0.0,0.0,1388087.5,0.0,0.0,0.0,0.0,1388087.5,0.0,0.0,0.0,0.0,1388087.5,0.0,0.0,0.0,0.0,0.0,1388087.5,0.0,1388087.5,0.0,1388087.5
10,Bari,Bandarbeyla,2009-07-01,0.0,0.0,0.0,22656.9296875,0.0,0.0,0.0,0.0,22656.9296875,0.0,0.0,0.0,0.0,22656.9296875,0.0,0.0,0.0,0.0,0.0,22656.9296875,0.0,22656.9296875,0.0,22656.9296875
11,Bari,Bossaso,2009-07-01,0.0,0.0,0.0,247947.65625,0.0,0.0,0.0,0.0,247947.65625,0.0,0.0,0.0,0.0,247947.65625,0.0,0.0,0.0,0.0,0.0,247947.65625,0.0,247947.65625,0.0,247947.65625
12,Bari,Caluula,2009-07-01,0.0,0.0,0.0,57518.7109375,0.0,0.0,0.0,0.0,57518.7109375,0.0,0.0,0.0,0.0,57518.7109375,0.0,0.0,0.0,0.0,0.0,57518.7109375,0.0,57518.7109375,0.0,57518.7109375
13,Bari,Iskushuban,2009-07-01,0.0,0.0,0.0,75577.609375,0.0,0.0,0.0,0.0,75577.609375,0.0,0.0,0.0,0.0,75577.609375,0.0,0.0,0.0,0.0,0.0,75577.609375,0.0,75577.609375,0.0,75577.609375
14,Bari,Qandala,2009-07-01,0.0,0.0,0.0,62170.453125,0.0,0.0,0.0,0.0,62170.453125,0.0,0.0,0.0,0.0,62170.453125,0.0,0.0,0.0,0.0,0.0,62170.453125,0.0,62170.453125,0.0,62170.453125
15,Bari,Qardho,2009-07-01,0.0,0.0,0.0,129609.1875,0.0,0.0,0.0,0.0,129609.1875,0.0,0.0,0.0,0.0,129609.1875,0.0,0.0,0.0,0.0,0.0,129609.1875,0.0,129609.1875,0.0,129609.1875
16,Bay,Baydhaba,2009-07-01,0.0,0.0,0.0,488636.75,0.0,0.0,0.0,0.0,488636.75,0.0,0.0,0.0,0.0,488636.75,0.0,0.0,0.0,0.0,0.0,488636.75,0.0,488636.75,0.0,488636.75
17,Bay,Buur Hakaba,2009-07-01,0.0,0.0,0.0,210950.796875,0.0,0.0,0.0,0.0,210950.796875,0.0,0.0,0.0,0.0,210950.796875,0.0,0.0,0.0,0.0,0.0,210950.796875,0.0,210950.796875,0.0,210950.796875
