,date,ADMIN1,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_1,CS_5,ML1_5,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2
0,2009-07-01,Awdal,20.723438262939453,0.0,0.0,463644.9296875,0.0,20.723438262939453,0.0,0.0,463644.9296875,0.0,20.723438262939453,0.0,0.0,463644.9296875,0.0,0.0,0.0,0.0,20.723438262939453,463686.3765640259,20.723438262939453,463686.3765640259,20.723438262939453,463686.3765640259
1,2009-07-01,Bakool,0.0,0.0,0.0,483539.54296875,0.0,0.0,0.0,0.0,483539.54296875,0.0,0.0,0.0,0.0,483539.54296875,0.0,0.0,0.0,0.0,0.0,483539.54296875,0.0,483539.54296875,0.0,483539.54296875
2,2009-07-01,Banadir,0.0,0.0,0.0,1388087.5,0.0,0.0,0.0,0.0,1388087.5,0.0,0.0,0.0,0.0,1388087.5,0.0,0.0,0.0,0.0,0.0,1388087.5,0.0,1388087.5,0.0,1388087.5
3,2009-07-01,Bari,0.0,0.0,0.0,595480.546875,0.0,0.0,0.0,0.0,595480.546875,0.0,0.0,0.0,0.0,595480.546875,0.0,0.0,0.0,0.0,0.0,595480.546875,0.0,595480.546875,0.0,595480.546875
4,2009-07-01,Bay,0.0,0.0,0.0,968685.09375,0.0,0.0,0.0,0.0,968685.09375,0.0,0.0,0.0,0.0,968685.09375,0.0,0.0,0.0,0.0,0.0,968685.09375,0.0,968685.09375,0.0,968685.09375
5,2009-07-01,Galgaduud,0.0,0.0,0.0,514325.1328125,0.0,0.0,0.0,0.0,514325.1328125,0.0,0.0,0.0,0.0,514325.1328125,0.0,0.0,0.0,0.0,0.0,514325.1328125,0.0,514325.1328125,0.0,514325.1328125
6,2009-07-01,Gedo,0.0,0.0,0.0,512546.447265625,0.0,0.0,0.0,0.0,512546.447265625,0.0,0.0,0.0,0.0,512546.447265625,0.0,0.0,0.0,0.0,0.0,512546.447265625,0.0,512546.447265625,0.0,512546.447265625
7,2009-07-01,Hiraan,0.0,0.0,0.0,512541.125,0.0,0.0,0.0,0.0,512541.125,0.0,0.0,0.0,0.0,512541.125,0.0,0.0,0.0,0.0,0.0,512541.125,0.0,512541.125,0.0,512541.125
8,2009-07-01,Lower Juba,0.0,0.0,0.0,592224.47265625,0.0,0.0,0.0,0.0,592224.47265625,0.0,0.0,0.0,0.0,592224.47265625,0.0,0.0,0.0,0.0,0.0,592224.47265625,0.0,592224.47265625,0.0,592224.47265625
9,2009-07-01,Lower Shabelle,0.0,0.0,0.0,1341455.6953125,0.0,0.0,0.0,0.0,1341455.6953125,0.0,0.0,0.0,0.0,1341455.6953125,0.0,0.0,0.0,0.0,0.0,1341455.6953125,0.0,1341455.6953125,0.0,1341455.6953125
10,2009-07-01,Middle Juba,0.0,0.0,0.0,370670.5,0.0,0.0,0.0,0.0,370670.5,0.0,0.0,0.0,0.0,370670.5,0.0,0.0,0.0,0.0,0.0,370670.5,0.0,370670.5,0.0,370670.5
11,2009-07-01,Middle Shabelle,0.0,0.0,0.0,804763.859375,0.0,0.0,0.0,0.0,804763.859375,0.0,0.0,0.0,0.0,804763.859375,0.0,0.0,0.0,0.0,0.0,804763.859375,0.0,804763.859375,0.0,804763.859375
12,2009-07-01,Mudug,0.0,0.0,0.0,546031.59375,0.0,0.0,0.0,0.0,546031.59375,0.0,0.0,0.0,0.0,546031.59375,0.0,0.0,0.0,0.0,0.0,546031.59375,0.0,546031.59375,0.0,546031.59375
13,2009-07-01,Nugaal,0.0,0.0,0.0,194879.31640625,0.0,0.0,0.0,0.0,194879.31640625,0.0,0.0,0.0,0.0,194879.31640625,0.0,0.0,0.0,0.0,0.0,194879.31640625,0.0,194879.31640625,0.0,194879.31640625
14,2009-07-01,Sanaag,0.0,0.0,0.0,419754.8203125,0.0,0.0,0.0,0.0,419754.8203125,0.0,0.0,0.0,0.0,419754.8203125,0.0,0.0,0.0,0.0,0.0,419754.8203125,0.0,419754.8203125,0.0,419754.8203125
