,date,ADMIN1,CS_1,CS_2,CS_3,ML1_2,ML1_3,ML2_1,ML2_2,ML2_3,CS_4,CS_5,ML1_1,ML1_4,ML1_5,ML2_4,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2,ML1_99,CS_99,ML2_99
0,2009-07-01,Barh-El-Gazel,10.448765754699707,0.0,271514.375,10.448765754699707,271514.375,10.448765754699707,271514.375,0.0,0.0,0,0.0,0.0,0,0.0,0,271524.8237657547,543049.6475315094,271524.8237657547,543049.6475315094,271524.8237657547,543049.6475315094,,,
1,2009-07-01,Batha,10.099736213684082,190008.72410583496,321749.59375,190018.81784057617,321749.59375,0.0,511768.4453125,0.0,0.0,0,0.0,0.0,0,0.0,0,511768.41759204865,1023536.8351840973,511768.4115905762,1023536.8231811523,511768.4453125,1023536.890625,,,
2,2009-07-01,Borkou,0.0,97861.833984375,137.46955394744873,97861.833984375,137.46955394744873,0.0,97999.30859375,0.0,0.0,0,0.0,0.0,0,0.0,0,97999.30353832245,195998.6070766449,97999.30353832245,195998.6070766449,97999.30859375,195998.6171875,,,
3,2009-07-01,Chari-Baguirmi,415821.9523181915,189626.88400268555,0.0,422671.7804431915,182777.0632019043,422671.7804431915,182777.0632019043,0.0,0.0,0,0.0,0.0,0,0.0,0,605448.8363208771,1210897.6726417542,605448.8436450958,1210897.6872901917,605448.8436450958,1210897.6872901917,,,
4,2009-07-01,Ennedi Est,0.0,117069.4296875,7948.2392578125,117069.4296875,7948.2392578125,0.0,125017.66796875,0.0,0.0,0,0.0,0.0,0,0.0,0,125017.6689453125,250035.337890625,125017.6689453125,250035.337890625,125017.66796875,250035.3359375,,,
5,2009-07-01,Ennedi Ouest,0.0,49279.873046875,1819.4881591796875,49279.873046875,1819.4881591796875,0.0,51099.361328125,0.0,0.0,0,0.0,0.0,0,0.0,0,51099.36120605469,102198.72241210938,51099.36120605469,102198.72241210938,51099.361328125,102198.72265625,,,
6,2009-07-01,Guéra,109211.5703125,456373.203125,28.334882736206055,565584.7734375,28.334882736206055,29.77239227294922,565583.3515625,0.0,0.0,0,0.0,0.0,0,0.0,0,565613.1083202362,1131226.2166404724,565613.1083202362,1131226.2166404724,565613.123954773,1131226.247909546,,,
7,2009-07-01,Hadjer-Lamis,241033.7455444336,151932.22164916992,128048.12014770508,241033.7455444336,279980.3467102051,241033.7455444336,279980.3467102051,0.0,0.0,0,0.0,0.0,0,0.0,0,521014.0873413086,1042028.1746826172,521014.0922546387,1042028.1845092773,521014.0922546387,1042028.1845092773,,,
8,2009-07-01,Kanem,3177.875732421875,11.471519470214844,346098.4453125,3189.3472900390625,346098.4453125,3177.875732421875,346109.9140625,0.0,0.0,0,0.0,0.0,0,0.0,0,349287.7925643921,698575.5851287842,349287.79260253906,698575.5852050781,349287.7897949219,698575.5795898438,,,
9,2009-07-01,Lac,148807.17315673828,0.0,246234.90698242188,148807.17315673828,246234.90698242188,148807.17315673828,246234.9072265625,0.0,0.0,0,0.0,0.0,0,0.0,0,395042.08013916016,790084.1602783203,395042.08013916016,790084.1602783203,395042.0803833008,790084.1607666016,,,
10,2009-07-01,Logone Occidental,874.5002899169922,676051.765625,0.0,676926.2734375,0.0,676926.2734375,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,676926.265914917,1353852.531829834,676926.2734375,1353852.546875,676926.2734375,1353852.546875,,,
